Carimbo de data/hora,Cidade da entrega:,Data da entrega:,Atendimento,Motorista,Prazo,Condição do Produto,Comunicação,Nota_Geral,Problema,Melhorar,Comentário
20/04/2026 20:08:01,Campo bom ,20/04/2026,5,5,5,5,4,10,Atraso,.,.
12/05/2026 21:13:25,Taquara,15/04/2026,5,5,4,5,4,9,Atraso,Avisar quando houver atraso,Atendimento muito bom
12/05/2026 21:14:05,Igrejinha,16/04/2026,4,5,5,5,5,10,Não tive problemas,Nada no momento,Entrega rápida
12/05/2026 21:14:45,Parobé,16/04/2026,3,4,2,5,2,6,Dificuldade de comunicação,Informar melhor o andamento da entrega,Não consegui contato facilmente
12/05/2026 21:15:20,Sapiranga,17/04/2026,5,5,5,5,5,10,Não tive problemas,Continuar assim,Excelente serviço
12/05/2026 21:35:40,Três Coroas,17/04/2026,4,3,3,4,3,7,Problema com motorista,Melhor comunicação na entrega,Motorista parecia apressado
12/05/2026 21:37:43,Rolante,18/04/2026,5,5,5,5,4,9,Não tive problemas,Poder acompanhar a entrega em tempo real,Produto chegou certinho
12/05/2026 21:39:20,Nova Hartz,18/04/2026,2,4,2,3,2,5,Atraso,Melhorar prazo e comunicação,Demorou mais do que o esperado
12/05/2026 21:40:07,Canela,19/04/2026,4,5,4,5,4,8,Não tive problemas,Poder receber atualização por WhatsApp,Bom atendimento
12/05/2026 21:41:57,Gramado,19/04/2026,3,3,4,2,3,6,Produto danificado,Mais cuidado no transporte,Caixa chegou amassada
12/05/2026 21:43:25,São Francisco de Paula,20/04/2026,5,5,4,5,5,10,Não tive problemas,Nada a acrescentar,Serviço muito bom mesmo
14/05/2026 13:30:43,Riozinho,14/05/2026,5,5,4,4,5,9,Atraso na entrega. Troca de notas entre clientes. Entrega com volumes faltando,Ter rastreamento ou acesso ao comprovante da entrega virtualmente. Verificar viabilidade de trocar a Kombi por um veículo maior na rota diária para coletas de mercadorias em paletes.,
14/05/2026 13:55:27,Rolante,14/05/2026,5,5,5,5,5,10,Não tive problemas,,"Se tivesse rastreio de mercadoria, seria um adicional muito útil."
